feature,spearman_corr,p_value
track_genre_turkish,0.03150589548188356,1.93839585717987e-26
track_genre_indie-pop,0.030611096972028212,4.75299503504098e-25
duration_ms,0.02822655660892456,1.5401889324619135e-21
track_genre_techno,0.027453400611323665,1.8444249582943678e-20
danceability,0.026628490890970167,2.4208970098997164e-19
track_genre_indie,0.022953846439103483,9.11381620519811e-15
track_genre_samba,0.022385921226291763,4.054897328220883e-14
track_genre_groove,0.02225321062761335,5.717396526026457e-14
track_genre_trance,0.021100766188394703,1.0396457905935926e-12
track_genre_punk,0.02087876024389356,1.7869683265350441e-12
track_genre_hip-hop,0.020419558527213173,5.383461208719298e-12
track_genre_songwriter,0.02035402269417115,6.2889554437186195e-12
track_genre_singer-songwriter,0.02035402269417115,6.2889554437186195e-12
track_genre_folk,0.020160946414879404,9.914645672313844e-12
track_genre_spanish,0.02014266193893141,1.0349168615797421e-11
track_genre_punk-rock,0.02004100517661527,1.312735484174213e-11
key_4,0.01802846381434899,1.14660218324422e-09
tempo,0.01708517794605146,7.975381376108385e-09
key_2,0.016800879019961155,1.4034461397009315e-08
track_genre_r-n-b,0.01670883191664624,1.682004654601956e-08
track_genre_swedish,0.016393788993307803,3.103567987577033e-08
track_genre_synth-pop,0.015189827678103241,2.9141573218541453e-07
track_genre_hardcore,0.011332288491635442,0.0001300827593443165
key_11,0.00961811862287482,0.001164277107778993
track_genre_electro,0.009578494634355231,0.001220221351264106
track_genre_children,0.008723439882067746,0.003225415177158063
acousticness,0.008399165149659332,0.0045696255250203075
track_genre_sleep,0.00781931734870173,0.008287745743026804
track_genre_edm,0.0071121186499232296,0.01633552275691495
time_signature_0,0.005402246872938311,0.06815180233191492
track_genre_cantopop,0.005186302713814639,0.07993042362958311
track_genre_ska,0.005062475272935913,0.0873989867618006
key_6,0.004488008145629014,0.12969215269338663
track_genre_rock-n-roll,0.0040709783086306985,0.16928306668424276
track_genre_trip-hop,0.003984670257414472,0.17850574190442858
track_genre_alt-rock,0.003441789938579736,0.24520592271133476
track_genre_dancehall,0.0033408488673528384,0.25932364276056463
track_genre_minimal-techno,0.0028211598025739476,0.3408309801967696
track_genre_house,0.0019040403190272702,0.5203074597961117
track_genre_disco,0.0013510315398975608,0.6482778349235887
track_genre_funk,-0.0008916551945913952,0.7633731629700441
key_3,-0.0010250270497586826,0.7292786398674168
key_1,-0.0012543950423286492,0.6719100485583195
track_genre_club,-0.0021078591215685583,0.4766579144858437
key_8,-0.0026235985283445677,0.375714192093344
key_5,-0.003491315721479587,0.23848000385231397
track_genre_death-metal,-0.005758075481922133,0.05187798722176438
key_9,-0.0064665191503914575,0.02901026281549508
track_genre_rockabilly,-0.007393199168312706,0.012551832514864435
track_genre_blues,-0.007528215723680664,0.011027495446963173
liveness,-0.008189075224840187,0.0056928717865211455
key_10,-0.009529861756332034,0.0012922765747728
key_7,-0.010759842505167082,0.00028013819601199356
track_genre_industrial,-0.01083380964797737,0.0002542085249460023
